
% frame   10000
% time 999.901
% report fiber:force
% identity      posX      posY    forceX    forceY   tension
%   fiber f1:0001
        29     1.157     0.486     0.007     0.006    -0.009
        29     1.123     0.580     0.016    -0.029     0.015
        29     1.090     0.674     0.033     0.000     0.017
        29     1.056     0.769     0.006    -0.011     0.020
        29     1.022     0.863    -0.018    -0.021     0.025
        29     0.988     0.957    -0.004    -0.002     0.017
        29     0.954     1.051    -0.004    -0.002     0.009
        29     0.920     1.145     0.000     0.000     0.000
%   fiber f1:0030
        30     1.346    -0.280     0.005     0.016    -0.003
        30     1.364    -0.378     0.017    -0.005    -0.029
        30     1.382    -0.476     0.019     0.006    -0.044
        30     1.400    -0.575     0.027     0.036    -0.032
        30     1.418    -0.673     0.007     0.026    -0.025
        30     1.436    -0.771    -0.017     0.010    -0.030
        30     1.454    -0.870     0.034     0.037    -0.018
        30     1.472    -0.968     0.024    -0.001    -0.042
        30     1.490    -1.066     0.015     0.088     0.025
        30     1.508    -1.165    -0.035     0.002     0.015
        30     1.526    -1.263     0.010     0.004     0.000
%   fiber f1:0031
        31     1.497    -1.045     0.025     0.018    -0.002
        31     1.537    -1.137     0.017    -0.032    -0.047
        31     1.577    -1.229    -0.030    -0.014    -0.057
        31     1.617    -1.320    -0.014    -0.010    -0.069
        31     1.657    -1.412    -0.039     0.021    -0.043
        31     1.698    -1.503    -0.031     0.026    -0.016
        31     1.738    -1.595     0.000     0.000    -0.024
        31     1.778    -1.686     0.022    -0.010    -0.051
        31     1.818    -1.778     0.002     0.050    -0.014
        31     1.858    -1.870    -0.021     0.020     0.004
        31     1.898    -1.961    -0.001     0.005     0.000
%   fiber f1:0032
        32     1.503    -1.414     0.014     0.002    -0.003
        32     1.484    -1.316     0.004     0.020    -0.025
        32     1.465    -1.218     0.003    -0.021    -0.008
        32     1.446    -1.119     0.011     0.027    -0.035
        32     1.427    -1.021    -0.022    -0.022    -0.020
        32     1.408    -0.923     0.010     0.014    -0.036
        32     1.389    -0.825    -0.003    -0.046     0.005
        32     1.370    -0.727    -0.027    -0.007     0.003
        32     1.351    -0.628    -0.002     0.010    -0.010
        32     1.332    -0.530     0.016    -0.011     0.001
        32     1.313    -0.432     0.010    -0.000     0.000
%   fiber f1:0033
        33     0.617     1.940     0.020    -0.002     0.015
        33     0.583     2.034    -0.004     0.024    -0.003
        33     0.549     2.128     0.014     0.035    -0.026
        33     0.514     2.222    -0.069     0.031    -0.073
        33     0.480     2.316     0.040    -0.006    -0.048
        33     0.446     2.410     0.051     0.024    -0.047
        33     0.412     2.504    -0.019    -0.037    -0.012
        33     0.378     2.598    -0.008     0.003    -0.012
        33     0.344     2.692    -0.016     0.014    -0.024
        33     0.309     2.786    -0.023    -0.021    -0.006
        33     0.275     2.880    -0.049    -0.019     0.000
%   fiber f1:0034
        34     0.499     2.412    -0.000     0.002    -0.004
        34     0.531     2.317     0.009    -0.029    -0.040
        34     0.563     2.222    -0.043     0.010    -0.022
        34     0.595     2.127     0.012     0.074     0.038
        34     0.626     2.032     0.017     0.003     0.030
        34     0.658     1.938     0.007     0.016     0.037
        34     0.690     1.843     0.003    -0.004     0.027
        34     0.722     1.748     0.038     0.046     0.052
        34     0.754     1.653     0.028    -0.027     0.011
        34     0.785     1.558     0.000     0.000     0.006
        34     0.817     1.463     0.000     0.000     0.000
%   fiber f1:0035
        35     0.006     2.930     0.000     0.000    -0.004
        35     0.080     2.863     0.000     0.000    -0.008
        35     0.153     2.795     0.000     0.000    -0.012
        35     0.227     2.728     0.000     0.000    -0.016
        35     0.301     2.661     0.006     0.041     0.003
